iter	Passed	Remaining
348	23971	44715
349	24011	44593
350	24058	44484
351	24110	44385
352	24164	44289
353	24215	44190
354	24258	44075
355	24313	43982
356	24359	43874
357	24403	43762
358	24448	43653
359	24495	43547
360	24535	43429
361	24591	43340
362	24641	43240
363	24706	43169
364	24751	43060
365	24795	42952
366	24849	42861
367	24939	42830
368	25024	42792
369	25148	42820
370	25219	42757
371	25271	42661
372	25341	42598
373	25414	42537
374	25467	42446
375	25534	42376
376	25600	42304
377	25657	42219
378	25700	42110
379	25761	42031
380	25818	41946
381	25870	41852
382	25926	41767
383	26001	41710
384	26053	41618
385	26100	41517
386	26154	41428
387	26225	41366
388	26281	41280
389	26350	41214
390	26414	41141
391	26466	41050
392	26519	40960
393	26571	40869
394	26624	40778
395	26677	40689
396	26743	40621
397	26797	40532
398	26860	40459
399	26906	40359
